clients,cmd-stream_tcp_mus,cmd-stream_tcp_protobuf,grpc_http2_protobuf,kitex_ttheader_protobuf
1,2.993,4.095,12.923,11.542
2,2.982,4.082,12.821,11.110
4,2.957,4.059,12.812,10.535
8,3.030,4.129,12.762,10.239
16,3.055,4.157,12.698,10.145
