clients,cmd-stream_tcp_mus,cmd-stream_tcp_protobuf,grpc_http2_protobuf,kitex_ttheader_protobuf
1,0.341,0.442,1.524,0.410
2,0.211,0.284,0.838,0.329
4,0.127,0.159,0.641,0.282
8,0.083,0.092,0.579,0.283
16,0.073,0.078,0.499,0.292
