clients,cmd-stream_tcp_mus,cmd-stream_tcp_protobuf,grpc_http2_protobuf,kitex_ttheader_protobuf
1,0.030,0.034,0.140,0.042
2,0.030,0.030,0.043,0.043
4,0.030,0.030,0.055,0.040
8,0.030,0.030,0.051,0.037
16,0.030,0.030,0.057,0.035
