clients,cmd-stream_tcp_mus,cmd-stream_tcp_protobuf,grpc_http2_protobuf,kitex_ttheader_protobuf
1,0.576,0.696,1.970,0.576
2,0.391,0.496,1.219,0.509
4,0.247,0.307,0.913,0.511
8,0.167,0.199,0.861,0.509
16,0.156,0.175,0.820,0.524
