clients,cmd-stream_tcp_mus,cmd-stream_tcp_protobuf,grpc_http2_protobuf,kitex_ttheader_protobuf
1,0.599,0.726,2.067,0.609
2,0.435,0.519,1.295,0.538
4,0.293,0.356,1.070,0.537
8,0.183,0.225,1.038,0.536
16,0.167,0.191,0.989,0.563
