clients,cmd-stream_tcp_mus,cmd-stream_tcp_protobuf,grpc_http2_protobuf,kitex_ttheader_protobuf
1,161244,141975,48205,116383
2,211738,200441,75678,126457
4,262792,253449,89583,132805
8,283054,260314,89482,128783
16,293346,266467,94241,124592
